county_prec,total_reg
049_017,397.0
049_018,883.0
049_019,230.0
049_020,1095.0
049_021,1798.0
049_022,1091.0
049_023,682.0
049_024,961.0
049_025,693.0
049_026,530.0
049_027,1220.0
049_028,589.0
049_029,1348.0
049_030,1142.0
049_031,648.0
049_032,1365.0
049_033,1010.0
049_034,1293.0
049_035,456.0
049_036,606.0
049_037,972.0
049_038,1346.0
049_039,746.0
049_040,313.0
049_041,484.0
049_042,699.0
049_043,600.0
049_044,996.0
049_045,524.0
049_046,472.0
049_047,997.0
049_048,1906.0
049_049,781.0
049_050,912.0
049_051,822.0
049_052,1562.0
049_053,1230.0
049_054,1413.0
049_055,1591.0
049_056,1196.0
049_057,789.0
049_058,848.0
049_059,849.0
049_060,332.0
049_061,1135.0
049_062,1060.0
049_063,886.0
049_064,1270.0
049_065,2086.0
049_066,1651.0
049_067,1856.0
049_068,987.0
049_069,1995.0
049_070,2862.0
049_071,1642.0
049_072,1305.0
049_073,1403.0
049_074,805.0
049_075,1475.0
049_076,857.0
049_077,1213.0
049_078,2080.0
049_079,644.0
049_080,808.0
049_081,727.0
049_082,1207.0
049_083,1501.0
049_084,1536.0
049_085,1405.0
049_086,1900.0
049_087,254.0
049_088,1093.0
049_089,1590.0
049_090,2021.0
051_001,827.0
051_002,1785.0
051_003,296.0
051_004,312.0
051_005,1184.0
051_006,337.0
051_007,788.0
051_008,788.0
051_009,1216.0
053_001,712.0
053_002,696.0
053_003,1030.0
053_004,324.0
053_005,426.0
053_006,533.0
053_007,133.0
053_008,947.0
053_009,75.0
053_010,173.0
053_011,688.0
053_012,20.0
053_013,572.0
053_014,413.0
053_015,1120.0
053_016,38.0
053_017,118.0
053_018,772.0
053_019,515.0
053_020,335.0
053_021,10.0
053_022,94.0
053_023,153.0
053_024,298.0
053_025,159.0
053_026,8.0
053_027,717.0
055_001,630.0
055_002,205.0
055_003,156.0
055_004,572.0
055_005,527.0
055_006,833.0
055_007,646.0
055_008,373.0
055_009,2064.0
055_010,493.0
055_011,1165.0
055_012,1704.0
055_013,825.0
055_014,697.0
055_015,1772.0
055_016,884.0
055_017,2123.0
055_018,1334.0
055_019,1448.0
055_020,714.0
055_021,1097.0
055_022,314.0
055_023,112.0
055_024,217.0
055_025,244.0
055_026,100.0
055_027,396.0
055_028,437.0
055_029,207.0
055_030,75.0
055_031,50.0
055_032,242.0
055_033,130.0
055_034,824.0
055_035,1409.0
055_036,107.0
057_001,721.0
057_002,313.0
057_003,258.0
057_004,219.0
057_005,1909.0
057_006,1578.0
057_007,814.0
057_008,221.0
057_009,611.0
057_010,418.0
057_011,97.0
057_012,70.0
057_013,1264.0
057_014,89.0
057_015,365.0
057_016,434.0
059_001,399.0
059_004,695.0
059_006,713.0
059_007,513.0
059_008,141.0
059_009,81.0
061_001,274.0
061_002,1471.0
061_003,661.0
061_004,877.0
061_005,1358.0
061_006,1349.0
061_007,1789.0
061_008,2038.0
061_009,685.0
061_010,691.0
061_011,740.0
061_012,1021.0
061_013,480.0
061_014,900.0
061_015,592.0
061_016,1340.0
061_017,2143.0
061_018,805.0
061_019,649.0
061_020,358.0
061_021,1448.0
061_022,581.0
061_023,1384.0
061_024,303.0
061_025,475.0
061_026,638.0
061_027,1432.0
061_028,1454.0
061_029,1481.0
061_030,1501.0
061_031,1211.0
061_032,1211.0
061_033,446.0
061_034,376.0
061_035,629.0
061_036,476.0
061_037,562.0
061_038,914.0
061_039,1873.0
061_040,1171.0
061_041,1446.0
